"sku","part_type","attribute_set","type","visibility","status","name","description","manufacturer","part_number","part_number_short","categories","ti_part_sku","interchanges","bill_of_materials","price","quantity","turbo_model","turbo_type","image","media_gallery","kit_type","gasket_type","seal_type","cool_type","turbo_model_name","finder:1","bearing_type","bore_oe","compressor_housing_diameter","compressor_wheel_diameter","design_features","exduce_oa","exducer_oc","hub_length_d","i_gap_max","i_gap_min","inducer_diameter","inducer_oa","inducer_oc","inside_diameter","inside_diameter_max","inside_diameter_min","journal_od","number_of_blades","oil","oil_inlet","oil_outlet","outlet_flange_holes","outside_diameter_max","outside_diameter_min","outside_dim_max","outside_dim_min","overall_diameter","overall_height","oversize_id","piston_ring_diameter","secondary_diameter","shaft_thread_f","standard_size_id","stem_oe","style_compressor_wheel","tip_height_b","water_ports","width_max","width_min","customerprice","group_price:ERP_PL_0","group_price:ERP_PL_1","group_price:ERP_PL_2","group_price:ERP_PL_3","group_price:ERP_PL_4","group_price:ERP_PL_5","group_price:ERP_PL_E","group_price:ERP_PL_R","group_price:ERP_PL_W","tier_price:ERP_PL_0","tier_price:ERP_PL_1","tier_price:ERP_PL_2","tier_price:ERP_PL_3","tier_price:ERP_PL_4","tier_price:ERP_PL_5","tier_price:ERP_PL_E","tier_price:ERP_PL_R","tier_price:ERP_PL_W","application"
"2428","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","431876-0073","4318760073","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TBO274","TBO2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2429","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","408105-0352","4081050352","Manufacturer/Garrett;;Part Type/cartridge","","","[{""sku"":43877,""quantity"":1,""ti_part_sku"":[44636]},{""sku"":44740,""quantity"":1,""ti_part_sku"":[45059]},{""sku"":45144,""quantity"":1,""ti_part_sku"":[45314]}]","","","TBP408,TO4E47,TO4E49","TBP4,TO4E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2430","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","I.H.I.","VB810013","VB810013","Manufacturer/I.H.I.;;Part Type/cartridge","","","","","","RHB52W-34001P7NRBRL348CZ","RHB5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2431","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","4031305","4031305","Manufacturer/Holset;;Part Type/cartridge","","","","","","HX35W","HX35W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2432","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","2843425","2843425","Manufacturer/Holset;;Part Type/cartridge","","","","","","HX83","HX83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2433","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","4031539","4031539","Manufacturer/Holset;;Part Type/cartridge","","","","","","HX40W","HX40W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2434","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","703891-0050","7038910050","Manufacturer/Garrett;;Part Type/cartridge","","","","","","GT2052V","GT20V","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2435","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","408774-0038","4087740038","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TV7121","TV71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2436","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","410349-0025","4103490025","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TW9205","TW92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2437","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","KKK","5327-710-0186","53277100186","Manufacturer/KKK;;Part Type/cartridge","","","","","","K27.2-2871OXCKB/12.21","K27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
