"sku","part_type","attribute_set","type","visibility","status","name","description","manufacturer","part_number","part_number_short","categories","ti_part_sku","interchanges","bill_of_materials","price","quantity","turbo_model","turbo_type","image","media_gallery","kit_type","gasket_type","seal_type","cool_type","turbo_model_name","finder:1","bearing_type","bore_oe","compressor_housing_diameter","compressor_wheel_diameter","design_features","exduce_oa","exducer_oc","hub_length_d","i_gap_max","i_gap_min","inducer_diameter","inducer_oa","inducer_oc","inside_diameter","inside_diameter_max","inside_diameter_min","journal_od","number_of_blades","oil","oil_inlet","oil_outlet","outlet_flange_holes","outside_diameter_max","outside_diameter_min","outside_dim_max","outside_dim_min","overall_diameter","overall_height","oversize_id","piston_ring_diameter","secondary_diameter","shaft_thread_f","standard_size_id","stem_oe","style_compressor_wheel","tip_height_b","water_ports","width_max","width_min","customerprice","group_price:ERP_PL_0","group_price:ERP_PL_1","group_price:ERP_PL_2","group_price:ERP_PL_3","group_price:ERP_PL_4","group_price:ERP_PL_5","group_price:ERP_PL_E","group_price:ERP_PL_R","group_price:ERP_PL_W","tier_price:ERP_PL_0","tier_price:ERP_PL_1","tier_price:ERP_PL_2","tier_price:ERP_PL_3","tier_price:ERP_PL_4","tier_price:ERP_PL_5","tier_price:ERP_PL_E","tier_price:ERP_PL_R","tier_price:ERP_PL_W","application"
"639","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","408105-0401","4081050401","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TO4E15","TO4E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"640","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","KKK","5250-710-0000","52507100000","Manufacturer/KKK;;Part Type/cartridge","","","","","","4HD857/307,4HD857/276,4HD857/245,4HD-857/307,4HD-857/245,4HD857/258,4HD-857/258,4HD-857/276","4HD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"641","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","4032347","4032347","Manufacturer/Holset;;Part Type/cartridge","","","[{""sku"":45284,""quantity"":1,""ti_part_sku"":[45325]}]","","","HE351CW","HE351CW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"642","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","3580579","3580579","Manufacturer/Holset;;Part Type/cartridge","","","","","","WH2D","WH2D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"643","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Mitsubishi","49177-08110","4917708110","Manufacturer/Mitsubishi;;Part Type/cartridge","6636","6636","[{""sku"":45221,""quantity"":1,""ti_part_sku"":[45344]}]","","","TDO4-11G/4,TDO4-11G","TDO4","","","","","","","","Mitsubishi,1999,MONTERO|Mitsubishi,1987,PAJERO|Mitsubishi,1987,MONTERO|Mitsubishi,1991,MONTERO|Mitsubishi,1991,PAJERO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mitsubishi,1999,MONTERO|Mitsubishi,1987,PAJERO|Mitsubishi,1987,MONTERO|Mitsubishi,1991,MONTERO|Mitsubishi,1991,PAJERO"
"644","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","I.H.I.","NZ853987","NZ853987","Manufacturer/I.H.I.;;Part Type/cartridge","","","","","","RHC7F-13335Q41NFBRL5715CC","RHC7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"645","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","433289-0134","4332890134","Manufacturer/Garrett;;Part Type/cartridge","6540","6540","[{""sku"":45145,""quantity"":1,""ti_part_sku"":[45316]},{""sku"":42213,""quantity"":1,""ti_part_sku"":[42798]},{""sku"":44762,""quantity"":1,""ti_part_sku"":[45082]},{""sku"":43895,""quantity"":1,""ti_part_sku"":[44663]}]","","","GT1549S","GT15","","","","","","","","Peugeot,2001,EXPERT HDi|Citroen,2001,DISPATCH HDi|Citroen,2001,EVASION|Peugeot,2001,807 HDi|Fiat,2001,ULYSSE 2|Lancia,2001,ZETA2|Citroen,2001,JUMPY HDi|Fiat,2001,SCUDO JTD|Peugeot,2001,806 HDi|Citroen,2001,EVASION 2|Suzuki,2002,VITARA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Peugeot,2001,EXPERT HDi|Citroen,2001,DISPATCH HDi|Citroen,2001,EVASION|Peugeot,2001,807 HDi|Fiat,2001,ULYSSE 2|Lancia,2001,ZETA2|Citroen,2001,JUMPY HDi|Fiat,2001,SCUDO JTD|Peugeot,2001,806 HDi|Citroen,2001,EVASION 2|Suzuki,2002,VITARA"
"646","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","712401-0001","7124010001","Manufacturer/Garrett;;Part Type/cartridge","","","","","","GT4294S,GT4288R,GT4294,GT4702,GTA4294BS","GT42,GT47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","441398-0063","4413980063","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TA4550,TA4514","TA45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","408105-0194","4081050194","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TB4105","TB41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"649","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","443854-0191","4438540191","Manufacturer/Garrett;;Part Type/cartridge","","","[{""sku"":45140,""quantity"":1,""ti_part_sku"":[45311]},{""sku"":43901,""quantity"":1,""ti_part_sku"":[44670]},{""sku"":42127,""quantity"":1,""ti_part_sku"":[42750]}]","","","TBO2","TBO2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"650","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","447450-0041","4474500041","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TO4E35","TO4E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"651","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","4029491","4029491","Manufacturer/Holset;;Part Type/cartridge","","","","","","HX35W","HX35W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"652","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","410349-0016","4103490016","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TW9205","TW92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"653","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","311301","311301","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S2A","S2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"654","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","KKK","5314-710-0503","53147100503","Manufacturer/KKK;;Part Type/cartridge","","","","","","K14-2064GGA8.12,K14-2064GGA,K14-2064GGA/7.12,K14-2064GGA/8.12","K14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"655","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","4027235","4027235","Manufacturer/Holset;;Part Type/cartridge","","","","","","HX55","HX55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"656","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Komatsu","6505-71-5950","6505715950","Manufacturer/Komatsu;;Part Type/cartridge","","","","","","KTR110M-322AW","KTR110M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"657","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","3545478","3545478","Manufacturer/Holset;;Part Type/cartridge","","","","","","HT100","HT100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"658","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","409043-0003","4090430003","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TV6105","TV61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"659","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","3539071","3539071","Manufacturer/Holset;;Part Type/cartridge","","","","","","HX25W,HX25","HX25W,HX25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"660","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Mitsubishi","49178-09050","4917809050","Manufacturer/Mitsubishi;;Part Type/cartridge","","","","","","TDO5H-16G8/7S","TDO5H","","","","","","","","Mitsubishi,1995,LANCER EVO 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mitsubishi,1995,LANCER EVO 3"
"661","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","I.H.I.","VA810033","VA810033","Manufacturer/I.H.I.;;Part Type/cartridge","","","[{""sku"":42847,""quantity"":1,""ti_part_sku"":[43864]},{""sku"":45270,""quantity"":1,""ti_part_sku"":[45336]},{""sku"":45269,""quantity"":1,""ti_part_sku"":[45336]},{""sku"":42848,""quantity"":1,""ti_part_sku"":[43864]}]","","","RHB52MW-52002MP12NRBRKL3711EZ,RHB52BW-52002BP12NRBRKL3711EZ","RHB5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"662","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","4045868","4045868","Manufacturer/Holset;;Part Type/cartridge","","","","","","HE851","HE851","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"663","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","155763","155763","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","3LK275","3LK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"664","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","715432-0003","7154320003","Manufacturer/Garrett;;Part Type/cartridge","","","","","","GTA3571","GT35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"665","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","735913-0007","7359130007","Manufacturer/Garrett;;Part Type/cartridge","","","","","","GTA4088BS","GT40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"666","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","712401-0002","7124010002","Manufacturer/Garrett;;Part Type/cartridge","","","","","","GTA4594","GT45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"667","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","testCHRAf","testCHRAf","Manufacturer/Garrett;;Part Type/cartridge","","","","","","test1551f","test15f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"668","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","447450-0230","4474500230","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TBP4","TBP4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","408105-0160","4081050160","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TO4B86","TO4B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"670","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","408742-0023","4087420023","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TV8120","TV81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"671","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","408742-0046","4087420046","Manufacturer/Garrett;;Part Type/cartridge","","","[{""sku"":45147,""quantity"":1,""ti_part_sku"":[45318]}]","","","TV8130","TV81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"672","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Mitsubishi","49168-08040","4916808040","Manufacturer/Mitsubishi;;Part Type/cartridge","","","","","","TCO5","TCO5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"673","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","4027921","4027921","Manufacturer/Holset;;Part Type/cartridge","","","","","","H3B,HT3B","H3B,HT3B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"674","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","4027748","4027748","Manufacturer/Holset;;Part Type/cartridge","","","","","","HX35","HX35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","178152","178152","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S3BGL114,S3BG-082,S3BSL159,S3BGL-114,S3BG-114","S3BGL,S3BG,S3BSL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","446179-0032","4461790032","Manufacturer/Garrett;;Part Type/cartridge","","","","","","GT2871R","GT28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"677","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","409095-0037","4090950037","Manufacturer/Garrett;;Part Type/cartridge","","","","","","T18A98","T18A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"678","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","408742-0009","4087420009","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TV8110","TV81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"679","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","310109","310109","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","4MD455","4MD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"680","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","KKK","5328-710-0022","53287100022","Manufacturer/KKK;;Part Type/cartridge","","","","","","K28-3467MOA/17.12,K28-3467MOA/22.12,K28-3467MOA/20.22,K28-3467MOA/12.12,K28-3467MOA/14.72W,K28-3467MOA/14.12,K28-3467MOA/19.12,K28-3467MOA12.12","K28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"681","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","3580229","3580229","Manufacturer/Holset;;Part Type/cartridge","","","","","","H1C","H1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"682","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","4027400","4027400","Manufacturer/Holset;;Part Type/cartridge","","","","","","H3B","H3B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"683","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","4027987","4027987","Manufacturer/Holset;;Part Type/cartridge","","","","","","HX82M","HX82M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"684","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Mitsubishi","49373-08000","4937308000","Manufacturer/Mitsubishi;;Part Type/cartridge","","","","","","TDO25M2-07T/2.3","TDO25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"685","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","I.H.I.","VA810018","VA810018","Manufacturer/I.H.I.;;Part Type/cartridge","","","","","","RHB52GW-100003GP20NRBRLL4219EZ","RHB5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"686","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","4027387","4027387","Manufacturer/Holset;;Part Type/cartridge","","","","","","H2D","H2D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"687","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","KKK","5303-710-0515","53037100515","Manufacturer/KKK;;Part Type/cartridge","6581","6581","[{""sku"":45241,""quantity"":1,""ti_part_sku"":[45329]},{""sku"":42182,""quantity"":1,""ti_part_sku"":[42815]},{""sku"":44977,""quantity"":1,""ti_part_sku"":[45100]},{""sku"":42924,""quantity"":1,""ti_part_sku"":[43841]},{""sku"":43928,""quantity"":1,""ti_part_sku"":[44712]}]","","","KO3-048","KO3","","","","","","","","Renault,2001,Megane dCi|Renault,2001,SCENIC dCi|Renault,2001,LAGUNA dCi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Renault,2001,Megane dCi|Renault,2001,SCENIC dCi|Renault,2001,LAGUNA dCi"
"688","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","443854-0034","4438540034","Manufacturer/Garrett;;Part Type/cartridge","","","[{""sku"":44730,""quantity"":1,""ti_part_sku"":[45114]},{""sku"":42874,""quantity"":1,""ti_part_sku"":[43737]},{""sku"":42164,""quantity"":1,""ti_part_sku"":[42776]}]","","","TB2543","TB25","","","","","","","","Volvo,1990,740|Volvo,1991,940","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Volvo,1990,740|Volvo,1991,940"
"689","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","431922-0004","4319220004","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TV9404,TV9406","TV94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"690","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","310127","310127","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","3LM289,3LM-289","3LM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"691","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","167086","167086","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S2ESL-105","S2ESL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"692","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","310839","310839","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S65","S65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"693","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","198455","198455","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S3A,S3A052","S3A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"694","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","KKK","5327-710-0001","53277100001","Manufacturer/KKK;;Part Type/cartridge","","","","","","K27-2963N/13.11","K27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"695","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","KKK","5337-710-0014","53377100014","Manufacturer/KKK;;Part Type/cartridge","","","","","","K37-5064ND/27.21,K37-5064ND27.21","K37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"696","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","KKK","5327-710-0162","53277100162","Manufacturer/KKK;;Part Type/cartridge","","","","","","K27","K27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"697","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","409853-0046","4098530046","Manufacturer/Garrett;;Part Type/cartridge","6299","6299","[{""sku"":44732,""quantity"":1,""ti_part_sku"":[45049]},{""sku"":45142,""quantity"":1,""ti_part_sku"":[45309]},{""sku"":44731,""quantity"":1,""ti_part_sku"":[45049]},{""sku"":42863,""quantity"":1,""ti_part_sku"":[43734]},{""sku"":43883,""quantity"":1,""ti_part_sku"":[44654]},{""sku"":42148,""quantity"":1,""ti_part_sku"":[42755]}]","","","TB0352","T3","","","","","","","","Chrysler,1987,TURBO II|Dodge,1987,DAYTONA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrysler,1987,TURBO II|Dodge,1987,DAYTONA"
"698","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","409853-0101","4098530101","Manufacturer/Garrett;;Part Type/cartridge","6418","6418","[{""sku"":45142,""quantity"":1,""ti_part_sku"":[45309]},{""sku"":44733,""quantity"":1,""ti_part_sku"":[45060]},{""sku"":42863,""quantity"":1,""ti_part_sku"":[43734]},{""sku"":42142,""quantity"":1,""ti_part_sku"":[42752]},{""sku"":43877,""quantity"":1,""ti_part_sku"":[44636]}]","","","TA0315","T3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"699","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","KKK","5303-710-0523","53037100523","Manufacturer/KKK;;Part Type/cartridge","6585","6585","[{""sku"":45241,""quantity"":1,""ti_part_sku"":[45329]},{""sku"":43921,""quantity"":1,""ti_part_sku"":[44708]},{""sku"":42156,""quantity"":1,""ti_part_sku"":[42816]},{""sku"":44976,""quantity"":1,""ti_part_sku"":[45102]},{""sku"":42892,""quantity"":1,""ti_part_sku"":[43837]}]","","","KO3-075,KO3-071,KO3-076","KO3","","","","","","","","Opel,1999,Movano 2.8 DTI|Iveco,2003,Daily 2.8 TD|Renault,1999,Master 2.8 DTi|Iveco-Sofim,2001,Road Sweeper","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Opel,1999,Movano 2.8 DTI|Iveco,2003,Daily 2.8 TD|Renault,1999,Master 2.8 DTi|Iveco-Sofim,2001,Road Sweeper"
"700","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","433289-0213","4332890213","Manufacturer/Garrett;;Part Type/cartridge","","","[{""sku"":45145,""quantity"":1,""ti_part_sku"":[45316]}]","","","GT1544S","GT15","","","","","","","","Volkswagen,2002,POLO TDI|Volkswagen,2002,FOX TDI|Volkswagen,2002,LUPO TDI|Seat,2002,AROSA TDI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Volkswagen,2002,POLO TDI|Volkswagen,2002,FOX TDI|Volkswagen,2002,LUPO TDI|Seat,2002,AROSA TDI"
"701","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","702315-0024","7023150024","Manufacturer/Garrett;;Part Type/cartridge","","","","","","GT1544Z","GT15Z","","","","","","","","FORD,2002,TRANSIT CONNECT TDCi|FORD,2000,FOCUS TD di","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FORD,2002,TRANSIT CONNECT TDCi|FORD,2000,FOCUS TD di"
"702","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","750431-0009","7504310009","Manufacturer/Garrett;;Part Type/cartridge","6492","6492","[{""sku"":44751,""quantity"":1,""ti_part_sku"":[45071]},{""sku"":42964,""quantity"":1,""ti_part_sku"":[43784]},{""sku"":42245,""quantity"":1,""ti_part_sku"":[42802]},{""sku"":44006,""quantity"":1,""ti_part_sku"":[44700]},{""sku"":45149,""quantity"":1,""ti_part_sku"":[45319]}]","","","GT1749V","GT17V","","","","","","","","BMW,2007,320 d|BMW,2007,120 d|BMW,2007,520 d|BMW,2003,120 d|BMW,2003,520 d|BMW,2003,320 d|BMW,2008,320 d|BMW,2008,120 d|BMW,2008,520 d|BMW,2004,520 d|BMW,2004,320 d|BMW,2004,120 d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BMW,2007,320 d|BMW,2007,120 d|BMW,2007,520 d|BMW,2003,120 d|BMW,2003,520 d|BMW,2003,320 d|BMW,2008,320 d|BMW,2008,120 d|BMW,2008,520 d|BMW,2004,520 d|BMW,2004,320 d|BMW,2004,120 d"
