id	part	cd_a_length_across_thrust_bearing	cd_a_length_across_thrust_bearing_tol	cd_b_oal	cd_b_oal_tol	cd_c_te_thrust_dia	cd_c_te_thrust_dia_tol	cd_d_ce_thrust_dia	cd_d_ce_thrust_dia_tol	cd_e_bore_dia	cd_e_bore_dia_tol	cd_f_piston_ring_groove_1_major_dia	cd_f_piston_ring_groove_1_major_dia_tol	cd_g_piston_ring_groove_1_minor_dia	cd_g_piston_ring_groove_1_minor_dia_tol	cd_h_piston_ring_groove_1_width	cd_h_piston_ring_groove_1_width_tol	cd_k_piston_ring_groove_2_major_dia	cd_k_piston_ring_groove_2_major_dia_tol	cd_l_piston_ring_groove_2_minor_dia	cd_l_piston_ring_groove_2_minor_dia_tol	cd_m_piston_ring_groove_2_width	cd_m_piston_ring_groove_2_width_tol	cd_i_ce_flinger_dia	cd_j_te_flinger_dia	cd_num_flinger_holes_ce_row	cd_dia_flinger_holes_ce_row	cd_num_flinger_holes_te_row	cd_dia_flinger_holes_te_row	cd_material	cd_weight	cd_diagram_
53	8-B-1005	0.1420	0.0005	0.1970	0.0050	0.718	0.005	-99.000	0.005	0.2762	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
54	8-B-3762	0.1420	0.0005	0.1970	0.0050	0.828	0.005	-99.000	0.005	0.2762	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
55	8-B-3765	0.1420	0.0005	0.1970	0.0050	0.882	0.005	-99.000	0.005	0.3153	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
56	8-B-3768	0.1400	0.0005	0.2140	0.0050	0.942	0.005	-99.000	0.005	0.3153	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
57	8-B-5961	0.1410	0.0005	0.1970	0.0050	0.953	0.005	-99.000	0.005	0.3156	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
58	8-B-6205	0.1410	0.0005	0.1970	0.0050	0.750	0.005	-99.000	0.005	0.2761	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
59	8-C-3480	0.2140	0.0005	0.3340	0.0050	0.800	0.005	0.800	0.005	0.2763	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
60	8-C-3488	0.2140	0.0005	0.3340	0.0050	0.863	0.005	0.863	0.005	0.3161	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
61	8-C-3498	0.2150	0.0005	0.4150	0.0050	1.061	0.005	1.061	0.005	0.3951	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
62	8-C-5689	0.1740	0.0005	0.2650	0.0050	0.725	0.005	-99.000	0.005	0.2763	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
