id	part	cd_inducer_dia_a	cd_inducer_dia_a_tol	cd_exducer_dia_b	cd_exducer_dia_b_tol	cd_tip_height_c	cd_tip_height_c_tol	cd_platform_height_h	cd_shroud_type	cd_blade_height	cd_blade_count	cd_journal_type	cd_max_journal_diameter_d	cd_min_journal_diameter_d	cd_max_stem_diameter_e	cd_min_stem_diameter_e	cd_stem_length_f	cd_stem_length_f_tol	cd_thread_hand	cd_thread_length_g	cd_piston_ring_groove_major_dia_i	cd_piston_ring_groove_major_dia_i_tol	cd_piston_ring_groove_minor_dia_j	cd_piston_ring_groove_minor_dia_j_tol	cd_piston_ring_groove_width_k	cd_piston_ring_groove_width_k_tol	cd_2nd_piston_ring_groove_major_dia	cd_2nd_piston_ring_groove_major_dia_tol	cd_2nd_piston_ring_groove_minor_dia	cd_2nd_piston_ring_groove_minor_dia_tol	cd_2nd_piston_ring_groove_width	cd_2nd_piston_ring_groove_width_tol	cd_rotation	cd_weight	cd_thread	cd_extended_tips	cd_diagram_
234	2-F-4556	2.087	0.005	1.516	0.002	0.274	0.005	1.90	20376	2.18	11	19892	0.2915	0.2912	0.2009	0.2006	1.69	0.01	20403	0.35	0.572	0.003	0.479	0.005	0.055	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	114.5	20894	0	NULL
235	2-F-4557	1.811	0.005	1.575	0.002	0.328	0.005	1.90	20376	2.23	11	19892	0.2915	0.2912	0.2009	0.2006	1.75	0.01	20403	0.42	0.572	0.003	0.476	0.005	0.050	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	109.0	20894	0	NULL
236	2-F-4558	1.732	0.005	2.154	0.002	0.413	0.005	2.22	20376	2.63	11	19892	0.4097	0.4094	0.2797	0.2794	0.27	0.01	20403	0.53	0.650	NULL	0.550	NULL	0.054	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	248.7	20904	1	NULL
237	2-F-4559	2.441	0.005	1.582	0.002	0.219	0.005	2.18	20376	2.35	8	19892	0.3151	0.3148	0.2009	0.2006	1.67	0.01	20403	0.35	0.651	0.003	0.476	0.005	0.050	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	121.5	20894	1	NULL
238	2-F-4560	1.764	0.005	1.404	0.002	0.179	0.005	1.96	20376	2.15	8	19892	0.2915	0.2912	0.2009	0.2006	1.65	0.01	20403	0.33	0.548	NULL	0.475	NULL	0.050	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	114.6	20894	1	NULL
239	2-F-4561	1.724	0.005	1.486	0.002	0.207	0.005	1.97	20376	2.16	8	19892	0.2915	0.2912	0.2009	0.2006	1.70	0.01	20403	0.39	0.570	NULL	0.478	NULL	0.052	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	111.7	20894	0	NULL
240	2-F-5217	1.751	0.005	1.339	0.002	0.300	0.005	1.78	20376	2.08	9	19891	0.2915	0.2912	0.2009	0.2006	1.93	0.01	20403	0.38	0.574	0.003	0.475	0.005	0.053	0.001	0.360	0.003	0.292	0.005	0.054	0.001	20336	93.3	20894	0	NULL
241	2-F-6023	1.750	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	NULL
242	2-F-6155	NULL	0.005	2.200	0.002	NULL	0.005	2.22	NULL	NULL	NULL	NULL	NULL	-0.0003	NULL	-0.0003	NULL	0.01	NULL	NULL	NULL	0.003	NULL	0.005	NULL	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	NULL	NULL	NULL	NULL
243	2-F-6223	3.037	0.005	1.735	0.002	0.257	0.005	2.11	20376	2.37	7	19892	0.3150	0.3147	0.2008	0.2005	1.76	0.01	20403	0.54	0.649	0.003	0.545	0.005	0.051	NULL	-99.000	NULL	-99.000	NULL	-99.000	0.001	20336	NULL	20898	NULL	NULL
244	2-F-6239	2.044	0.005	1.513	0.002	0.272	0.005	2.07	NULL	NULL	NULL	19892	NULL	-0.0003	NULL	-0.0003	NULL	0.01	20403	NULL	NULL	0.003	NULL	0.005	NULL	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	113.4	20894	0	NULL
245	2-G-1606	1.808	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	NULL
246	2-G-1607	NULL	0.005	2.044	0.002	0.446	0.005	2.46	20376	2.90	11	19892	0.3938	0.3935	0.2558	0.2555	2.10	0.01	20403	0.48	0.680	0.003	0.570	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	146.3	20908	NULL	NULL
247	2-G-2497	2.670	0.005	1.732	0.002	0.391	0.005	2.29	20376	2.68	11	19892	0.3938	0.3935	0.2558	0.2555	1.98	0.01	20403	0.48	0.680	0.003	0.570	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	240.0	20908	NULL	NULL
248	2-G-3174	2.352	0.005	1.734	0.002	2.630	0.005	2.31	20376	2.57	9	19892	0.2953	0.2950	0.2008	0.2005	2.23	0.01	20403	0.60	0.576	0.003	0.466	0.005	0.064	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	146.9	20894	NULL	NULL
249	2-G-3733	2.049	0.005	1.651	0.002	0.340	0.005	NULL	NULL	NULL	NULL	19892	NULL	-0.0003	NULL	-0.0003	NULL	0.01	20403	NULL	NULL	0.003	NULL	0.005	NULL	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	250.3	20894	NULL	NULL
250	2-G-4562	1.977	0.005	1.887	0.002	0.376	0.005	2.03	20376	2.41	11	19892	0.3348	0.3345	0.2009	0.2006	1.90	0.01	20403	0.49	0.600	0.003	0.468	0.005	0.066	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	151.0	20894	0	NULL
251	2-G-4563	2.041	0.005	1.732	0.002	0.391	0.005	2.28	20376	2.67	10	19892	0.3939	0.3936	0.2561	0.2558	1.99	0.01	20403	0.55	0.680	0.003	0.569	0.005	0.068	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	244.8	20908	0	NULL
252	2-G-4564	2.344	0.005	1.185	0.002	0.219	0.005	1.83	20376	2.05	9	19892	0.2364	0.2361	0.1614	0.1611	1.56	0.01	20403	0.36	0.500	0.003	0.390	0.005	0.066	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	60.6	20886	0	NULL
253	2-G-4565	1.417	0.005	1.500	0.002	0.375	0.005	2.28	20376	2.64	8	19892	0.3348	0.3345	0.2246	0.2243	1.98	0.01	20403	0.55	0.580	0.003	0.470	0.005	0.064	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	176.8	20898	0	NULL
254	2-G-4566	2.041	0.005	1.494	0.002	0.256	0.005	2.28	20376	2.53	9	19892	0.2955	0.2952	0.2009	0.2006	1.86	0.01	20403	0.52	0.580	NULL	0.466	NULL	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	100.0	20894	0	NULL
255	2-G-4875	1.807	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	NULL
256	2-G-4879	NULL	0.005	1.496	0.002	0.258	0.005	1.83	20376	2.09	9	19892	0.2956	0.2953	0.2009	0.2006	1.77	0.01	20403	0.52	0.580	0.003	0.464	0.005	0.064	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	98.3	20894	0	NULL
257	2-G-4943	1.807	0.005	2.047	0.002	0.455	0.005	2.46	20376	2.91	10	19892	0.3939	0.3936	0.2561	0.2558	2.08	0.01	20403	0.52	0.780	NULL	0.568	NULL	0.066	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	313.0	20908	0	NULL
