id	part	cd_dia_a	cd_dia_a_tol	cd_dia_b	cd_dia_b_tol	cd_dia_c	cd_dia_c_tol	cd_dia_d	cd_dia_d_tol	cd_bore_dia_e	cd_bore_dia_e_tol	cd_bore_height_f	cd_bore_height_f_tol	cd_oal_g	cd_oal_g_tol	cd_gauge	cd_matl	cd_special_features	cd_rolled_lip	cd_weight	cd_diagram_	cd_thickness
52	6-D-4510	2.110	0.005	1.850	0.005	NULL	0.005	NULL	0.005	0.725	0.005	0.177	0.005	NULL	0.005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
53	6-D-4703	2.167	0.005	-99.000	0.005	-99.000	0.005	-99.000	0.005	0.970	0.005	0.085	0.005	0.116	0.005	22	19834	NULL	0	12.8	1	0.033
54	6-D-4704	1.885	0.005	-99.000	0.005	-99.000	0.005	-99.000	0.005	0.915	0.005	0.067	0.005	0.094	0.005	23	19834	NULL	0	8.5	1	0.027
55	6-D-5202	2.430	0.005	1.825	0.005	NULL	0.005	NULL	0.005	0.613	0.005	NULL	0.005	0.292	0.005	NULL	NULL	NULL	NULL	22.4	NULL	0.035
56	6-D-5203	1.945	0.005	1.425	0.005	NULL	0.005	NULL	0.005	0.593	0.005	NULL	0.005	0.215	0.005	NULL	NULL	NULL	NULL	10.6	NULL	0.045
57	6-D-5249	2.104	0.005	1.810	0.005	1.730	0.005	-99.000	0.005	0.730	0.005	0.140	0.005	0.200	0.005	19	19830	6 EQUALLY SPACED TABS	1	14.7	1	0.040
58	6-D-5289	2.250	0.005	1.990	0.005	1.920	0.005	-99.000	0.005	0.725	0.005	0.155	0.005	0.250	0.005	20	19830	3 EQUALLY SPACED TABS	NULL	16.5	1	0.035
59	6-D-5575	3.682	0.005	3.315	0.005	3.235	0.005	-99.000	0.005	0.909	0.005	0.762	0.005	0.848	0.005	20	19830	NULL	0	74.3	1	0.040
60	6-D-5587	2.424	0.005	1.996	0.005	1.956	0.005	-99.000	0.005	0.653	0.005	0.528	0.005	0.585	0.005	20	19830	NULL	0	30.5	1	0.038
61	6-D-5598	2.632	0.005	2.165	0.005	2.085	0.005	-99.000	0.005	0.629	0.005	0.522	0.005	0.595	0.005	20	19830	NULL	0	35.6	1	0.040
62	6-D-5621	1.946	0.005	1.266	0.005	1.190	0.005	-99.000	0.005	0.588	0.005	0.171	0.005	0.229	0.005	20	19830	NULL	0	13.0	1	0.038
63	6-D-5730	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
64	6-D-5753	3.201	0.005	2.718	0.005	2.642	0.005	-99.000	0.005	0.822	0.005	0.865	0.005	0.903	0.005	20	19830	NULL	0	59.1	1	0.038
65	6-D-5763	3.440	0.005	2.931	0.005	2.874	0.005	-99.000	0.005	0.826	0.005	0.810	0.005	0.878	0.005	20	19830	NULL	0	67.1	1	0.040
