id	part	cd_internal_external	cd_tapered_constant_section	cd_axially_radially_assembled	cd_self_locking	cd_ring_type	cd_bowed	cd_beveled	cd_housing_bore_dia_e	cd_shaft_dia_d	cd_groove_dia	cd_groove_dia_upper_tol	cd_groove_dia_lower_tol	cd_groove_width	cd_groove_width_upper_tol	cd_groove_width_lower_tol	cd_free_dia_a	cd_free_dia_a_upper_tol	cd_free_dia_a_lower_tol	cd_thickness_b	cd_thickness_b_tol	cd_hole_dia_c	cd_number_of_prongs	cd_material	cd_finish_plating	cd_weight	cd_reference_number	cd_diagram_
11	8-A-0954	20350	20345	20354	0	20365	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.626	0.000	0.013	0.025	0.002	-99.000	-99	20342	NULL	NULL	NULL	NULL
12	8-A-1290	20351	20345	20355	0	20362	NULL	0	-99.000	0.186	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.484	-99.000	-99.000	0.035	0.002	-99.000	-99	20342	20315	NULL	NULL	NULL
13	8-A-1567	20350	20345	20354	0	20365	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.724	0.000	0.013	0.024	0.002	-99.000	-99	20342	NULL	NULL	NULL	NULL
14	8-A-1938	20350	20345	20354	0	20365	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.596	0.000	0.013	0.025	0.002	-99.000	-99	20342	20314	NULL	NULL	NULL
15	8-A-2794	20350	20345	20355	0	20364	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.037	0.002	-99.000	-99	20342	20315	NULL	NULL	NULL
16	8-A-3450	20350	20347	20354	0	20361	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	1.790	0.035	0.025	0.071	0.002	0.108	-99	20342	20315	6.2	NULL	NULL
17	8-A-4001	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
18	8-A-4002	20350	20347	20354	0	20360	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	1.391	0.025	0.020	0.051	0.002	0.064	-99	20342	20315	NULL	NULL	NULL
19	8-A-4917	20350	20347	20354	0	20360	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	1.942	0.035	0.025	0.065	0.002	0.083	-99	20342	20322	1.6	NULL	NULL
20	8-A-4921	20350	20347	20354	0	20361	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.583	0.010	0.005	0.028	0.002	0.047	-99	20342	20315	3.0	NULL	NULL
21	8-A-5195	20350	20347	20354	0	20361	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.540	0.020	0.015	0.025	0.002	0.044	-99	20342	20315	0.2	NULL	NULL
22	8-A-5716	20350	20347	20354	0	20360	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	1.622	0.035	0.025	0.050	0.002	0.076	-99	20342	20315	3.0	NULL	NULL
23	8-A-5720	20350	20347	20354	0	20359	NULL	1	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	4.055	0.040	0.030	0.102	0.002	0.139	-99	20342	20315	33.9	NULL	NULL
24	8-A-6236	20351	20347	20354	0	20361	NULL	1	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	1.400	1.410	1.385	0.050	0.002	0.100	-99	20341	20311	4.6	VSH-150	NULL
25	8-B-0047	20351	20347	20354	0	20361	NULL	0	-99.000	1.272	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.050	0.002	0.078	-99	20342	20314	NULL	NULL	NULL
26	8-B-0077	20350	20347	20354	0	20360	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	3.050	0.040	0.030	0.093	0.002	0.113	-99	20342	20315	NULL	NULL	NULL
27	8-B-0092	20350	20347	20354	0	20360	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	1.180	0.025	0.020	0.050	0.002	0.064	-99	20342	20315	1.6	NULL	NULL
28	8-B-0422	20350	20346	20354	0	20358	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	2.850	0.015	0.010	0.055	0.002	-99.000	-99	20342	20314	NULL	NULL	NULL
29	8-B-0517	20350	20347	20354	0	20361	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.944	0.010	0.005	0.042	0.002	0.042	-99	20342	20315	0.9	ROTORCLIP HOI-62	NULL
30	8-B-0518	20350	20347	20354	0	20361	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.808	0.010	0.005	0.035	0.002	0.042	-99	20342	20315	NULL	NULL	NULL
31	8-B-2872	20350	20347	20354	0	20360	NULL	1	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	2.280	0.040	0.030	0.078	0.002	0.093	-99	20342	20315	8.0	NULL	NULL
32	8-B-3835	20351	20345	20355	0	20359	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.472	-99.000	-99.000	0.036	0.002	-99.000	-99	20342	20315	NULL	OCHIAI MT-47	NULL
33	8-B-5215	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Rotor Clip VHO-268	NULL
34	8-B-5216	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
35	8-B-6072	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	NULL	NULL	NULL	NULL	0.002	NULL	NULL	NULL	NULL	NULL	NULL	NULL
36	8-B-6341	20350	20347	20354	0	20360	NULL	1	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	2.142	0.040	0.030	0.065	0.002	0.092	-99	20342	20315	NULL	NULL	NULL
37	8-C-1379	20350	20347	20354	0	20361	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.767	0.010	0.005	0.039	0.002	0.051	-99	20342	20315	NULL	NULL	NULL
38	8-C-4141	20350	20347	20354	0	20360	NULL	1	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	2.350	0.040	0.030	0.078	0.002	0.120	-99	20342	20315	2.4	American Ring 5008-150	NULL
39	8-C-4159	20350	20347	20354	0	20360	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	1.660	0.035	0.025	0.050	0.002	NULL	-99	20342	20315	2.4	Roto Clip SH-137	NULL
40	8-C-5628	20350	20347	20354	0	20361	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.871	0.015	0.010	0.043	0.002	0.048	-99	20342	20315	0.9	NULL	NULL
41	8-D-0919	20350	20347	20354	0	20361	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.551	0.010	0.005	0.024	0.002	0.039	-99	20342	20315	NULL	ROTORCLIP HOI-87	NULL
42	8-D-2417	20350	20346	20354	0	20358	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.671	0.003	0.000	0.045	0.002	-99.000	-99	20342	20314	NULL	ROTORCLIP HOI-75	NULL
43	8-D-5576	20350	20347	20354	0	20360	NULL	1	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	2.820	0.040	0.030	0.100	0.002	0.125	-99	20342	20315	15.5	ROTOR CLIP VHO-206	NULL
44	8-D-5577	20350	20347	20354	0	20361	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.753	0.020	0.020	0.043	0.002	0.047	-99	20342	20315	0.7	NULL	NULL
45	8-E-0373	20350	20347	20354	0	20361	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.555	0.010	0.005	0.039	0.002	0.035	-99	20342	20315	NULL	OCHIAI ETW-6	NULL
