id	part	cd_water_cooled	cd_ce_dia_a	cd_ce_dia_a_tol	cd_ce_dia_b	cd_ce_dia_b_tol	cd_ce_dia_c	cd_ce_dia_c_tol	cd_cwc_dia	cd_cwc_dia_tol	cd_bore_dia_max	cd_bore_dia_min	cd_pr_bore_dia	cd_pr_bore_dia_tol	cd_single_dual_oil_feed	cd_spinning_bearing	cd_oil_inlet_thread	cd_oil_drain_thread	cd_oil_drain_flange_thread	cd_coolant_port_thread_1	cd_coolant_port_thread_2	cd_te_dia_d	cd_te_dia_d_tol	cd_te_dia_e	cd_te_dia_e_tol	cd_te_dia_f	cd_te_dia_f_tol	cd_arm_angle	cd_quadrant	cd_oal	cd_oal_tol	cd_weight	cd_diagram_	cd_oil_inlet_flange_thread	cd_lead_in_chmfr_angle	cd_lead_in_chmfr_len
209	4-D-6124	0	4.444	NULL	-99.000	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	19721	NULL	20939	20925	NULL	20411	NULL	-99.000	NULL	4.242	NULL	2.045	NULL	8.0	NULL	2.070	NULL	1897.0	NULL	NULL	NULL	NULL
210	4-D-6193	0	2.248	0.010	2.125	0.005	1.184	0.010	-99.000	-99.000	0.5152	0.5148	0.553	0.005	19721	1	20411	20411	20909	20411	20411	2.635	0.005	1.844	0.005	1.120	0.005	-99.0	21065	2.287	0.005	596.0	NULL	20909	30.0	0.060
211	4-E-4076	1	3.460	0.005	3.146	0.005	1.578	0.003	2.245	0.005	0.5120	0.5116	0.625	0.001	19721	1	20963	20411	20909	20963	20411	2.755	0.005	2.280	0.005	1.887	0.005	-99.0	21065	2.368	0.005	929.0	NULL	20411	30.0	0.082
212	4-E-4185	1	3.460	0.005	3.146	0.005	1.578	0.003	2.170	0.005	0.5120	0.5116	0.625	0.001	19721	1	20963	20411	20909	20963	20411	2.755	0.005	2.280	0.005	1.887	0.005	-99.0	21065	2.368	0.005	933.5	NULL	20411	30.0	0.082
213	4-E-4218	1	3.460	0.005	3.146	0.005	1.578	0.003	2.245	0.005	0.5120	0.5116	0.625	0.001	19721	1	21054	20411	20909	20963	20411	2.755	0.005	2.162	0.005	1.788	0.005	-99.0	21065	2.368	0.005	NULL	NULL	20411	30.0	0.082
214	4-E-4323	0	2.746	0.005	2.520	0.005	2.424	0.005	1.615	0.005	0.4333	0.4329	0.488	0.001	19721	1	20939	20411	20909	20411	20411	2.205	0.005	1.730	0.005	0.709	0.005	-99.0	21065	2.146	0.005	500.0	NULL	20411	30.0	0.079
215	4-E-4642	1	3.462	NULL	3.147	NULL	1.576	0.001	-99.000	-99.000	0.5123	0.5118	0.625	0.000	19721	1	20943	20411	20909	20961	20411	2.752	NULL	2.161	NULL	1.791	NULL	-99.0	21065	2.056	0.003	1011.5	NULL	20411	20.0	0.087
216	4-E-4643	0	3.461	NULL	3.146	NULL	NULL	NULL	1.950	NULL	NULL	NULL	NULL	NULL	19721	NULL	20925	20909	NULL	20411	NULL	2.161	NULL	2.752	NULL	1.567	NULL	NULL	21065	2.368	NULL	835.5	NULL	NULL	NULL	NULL
217	4-E-4644	0	3.462	NULL	3.146	NULL	NULL	NULL	1.950	NULL	NULL	NULL	NULL	NULL	19721	NULL	20943	20909	NULL	20411	NULL	2.162	NULL	2.752	NULL	1.569	NULL	NULL	21065	2.360	NULL	NULL	NULL	NULL	NULL	NULL
218	4-E-4645	0	4.309	NULL	4.130	NULL	NULL	NULL	2.400	NULL	NULL	NULL	NULL	NULL	19721	NULL	20943	20909	NULL	20411	NULL	2.913	NULL	3.450	NULL	2.290	NULL	NULL	21065	2.592	NULL	NULL	NULL	NULL	NULL	NULL
219	4-E-4646	0	2.745	NULL	2.519	NULL	NULL	NULL	1.617	NULL	NULL	NULL	NULL	NULL	19721	NULL	20943	20909	NULL	20411	NULL	-99.000	NULL	2.203	NULL	1.730	NULL	NULL	21065	2.146	NULL	NULL	NULL	NULL	NULL	NULL
220	4-E-4647	0	2.745	NULL	2.519	NULL	NULL	NULL	1.770	NULL	NULL	NULL	NULL	NULL	19721	NULL	20939	20909	NULL	20411	NULL	-99.000	NULL	2.203	NULL	1.730	NULL	NULL	21065	2.146	NULL	NULL	NULL	NULL	NULL	NULL
221	4-E-4648	1	3.462	NULL	3.146	NULL	NULL	NULL	2.234	NULL	NULL	NULL	NULL	NULL	19721	NULL	20945	20909	NULL	20961	NULL	2.161	NULL	2.750	NULL	1.775	NULL	NULL	21065	2.360	NULL	NULL	NULL	NULL	NULL	NULL
222	4-E-4650	1	3.462	NULL	3.146	NULL	NULL	NULL	2.050	NULL	NULL	NULL	NULL	NULL	19721	NULL	20963	20909	NULL	20963	NULL	2.161	NULL	2.751	NULL	1.770	NULL	NULL	21065	2.360	NULL	NULL	NULL	NULL	NULL	NULL
223	4-E-4652	1	3.462	NULL	3.146	NULL	NULL	NULL	1.967	NULL	NULL	NULL	NULL	NULL	19721	NULL	20943	20909	NULL	20961	NULL	2.161	NULL	2.751	NULL	1.770	NULL	NULL	21065	2.360	NULL	NULL	NULL	NULL	NULL	NULL
224	4-E-4653	1	3.462	NULL	3.146	NULL	NULL	NULL	2.240	NULL	NULL	NULL	NULL	NULL	19721	NULL	NULL	20909	NULL	20961	NULL	2.161	NULL	2.751	NULL	1.770	NULL	NULL	21065	2.360	NULL	NULL	NULL	NULL	NULL	NULL
225	4-E-4654	0	2.745	NULL	2.519	NULL	NULL	NULL	1.770	NULL	NULL	NULL	NULL	NULL	19721	NULL	20939	20909	NULL	20411	NULL	1.925	NULL	2.204	NULL	1.585	NULL	NULL	21065	2.146	NULL	NULL	NULL	NULL	NULL	NULL
226	4-E-4656	1	3.462	NULL	3.146	NULL	NULL	NULL	1.963	NULL	NULL	NULL	NULL	NULL	19721	NULL	20963	20909	NULL	20963	NULL	2.161	NULL	2.751	NULL	1.770	NULL	NULL	21065	2.370	NULL	NULL	NULL	NULL	NULL	NULL
227	4-E-4657	0	3.462	NULL	3.146	NULL	NULL	NULL	1.963	NULL	NULL	NULL	NULL	NULL	19721	NULL	20925	20909	NULL	20411	NULL	3.935	NULL	4.423	NULL	2.090	NULL	NULL	21068	2.352	NULL	NULL	NULL	NULL	NULL	NULL
228	4-E-4658	1	3.462	NULL	3.146	NULL	NULL	NULL	1.966	NULL	NULL	NULL	NULL	NULL	19721	NULL	20943	20909	NULL	20961	NULL	2.161	NULL	2.751	NULL	1.580	NULL	NULL	21065	2.360	NULL	NULL	NULL	NULL	NULL	NULL
229	4-E-4660	0	3.462	NULL	3.146	NULL	NULL	NULL	2.045	NULL	NULL	NULL	NULL	NULL	19721	NULL	20939	20909	NULL	20411	NULL	3.933	NULL	4.423	NULL	2.083	NULL	NULL	21066	2.367	NULL	NULL	NULL	NULL	NULL	NULL
230	4-E-4661	0	3.462	NULL	3.146	NULL	NULL	NULL	2.240	NULL	NULL	NULL	NULL	NULL	19721	NULL	20963	20909	NULL	20411	NULL	2.279	NULL	2.751	NULL	1.885	NULL	NULL	21065	2.370	NULL	NULL	NULL	NULL	NULL	NULL
231	4-E-4876	0	3.462	NULL	3.146	NULL	NULL	NULL	1.970	NULL	NULL	NULL	NULL	NULL	19721	NULL	20939	20909	NULL	20411	NULL	2.161	NULL	2.751	NULL	1.583	NULL	NULL	21065	2.370	NULL	NULL	NULL	NULL	NULL	NULL
232	4-E-4887	0	2.746	NULL	2.520	NULL	NULL	NULL	1.774	NULL	NULL	NULL	NULL	NULL	19721	NULL	20943	20909	NULL	20411	NULL	1.926	NULL	2.204	NULL	1.624	NULL	NULL	21065	2.145	NULL	440.5	NULL	NULL	NULL	NULL
233	4-E-4888	1	2.746	NULL	2.520	NULL	NULL	NULL	1.774	NULL	NULL	NULL	NULL	NULL	19721	NULL	20939	20909	NULL	20963	NULL	1.925	NULL	2.204	NULL	1.613	NULL	NULL	21065	2.145	NULL	537.0	NULL	NULL	NULL	NULL
234	4-E-4986	1	3.462	NULL	3.146	NULL	NULL	NULL	2.038	NULL	NULL	NULL	NULL	NULL	19721	NULL	20963	20909	NULL	20963	NULL	2.161	NULL	2.752	NULL	1.773	NULL	NULL	21065	2.370	NULL	1002.0	NULL	NULL	NULL	NULL
235	4-E-5562	0	3.462	NULL	3.146	NULL	NULL	NULL	1.962	NULL	NULL	NULL	NULL	NULL	19721	NULL	20963	20909	NULL	20411	NULL	2.161	NULL	2.752	NULL	1.570	NULL	NULL	21065	2.370	NULL	820.5	NULL	NULL	NULL	NULL
236	4-F-1303	1	4.542	0.005	4.293	0.005	2.004	0.002	-99.000	-99.000	0.7320	0.7315	0.590	0.002	19721	1	20945	20411	20909	20961	20411	2.953	0.005	2.481	0.005	2.120	0.010	-99.0	21065	2.600	0.005	NULL	NULL	20411	NULL	NULL
237	4-F-1778	1	4.542	0.005	4.293	0.005	2.004	0.002	-99.000	-99.000	0.7320	0.7315	0.590	0.005	19721	1	21053	20411	20909	21054	20411	2.953	0.005	2.481	0.005	2.120	0.010	-99.0	21065	2.600	0.005	NULL	NULL	20411	NULL	NULL
238	4-F-4016	0	2.424	0.005	2.242	0.005	1.395	0.003	-99.000	-99.000	0.4566	0.4562	0.590	0.005	19721	1	20945	20411	20909	20411	20411	2.754	0.005	2.131	0.005	NULL	NULL	-99.0	21065	2.029	0.005	NULL	NULL	20411	NULL	NULL
239	4-F-4022	1	3.440	NULL	3.226	0.005	1.730	0.001	-99.000	-99.000	0.6334	0.6330	0.669	0.001	19721	1	20963	20411	20925	20975	20411	4.450	0.005	3.797	0.005	3.059	0.005	-99.0	21065	2.950	0.005	2268.0	NULL	20411	30.0	0.092
240	4-F-4406	1	2.500	NULL	2.320	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	19721	NULL	20945	20909	NULL	20961	NULL	2.657	NULL	3.449	NULL	2.617	NULL	NULL	21065	2.135	NULL	1090.0	NULL	NULL	NULL	NULL
241	4-F-4662	NULL	2.520	NULL	-99.000	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20945	20909	NULL	20961	NULL	2.657	NULL	3.449	NULL	2.617	NULL	NULL	NULL	NULL	NULL	1262.0	NULL	NULL	NULL	NULL
242	4-F-4663	1	2.242	NULL	-99.000	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	19721	NULL	20945	20909	NULL	20961	NULL	2.131	NULL	2.755	NULL	2.095	NULL	NULL	21065	2.034	NULL	793.0	NULL	NULL	NULL	NULL
243	4-F-4664	0	4.540	NULL	4.290	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	19721	NULL	20939	20909	NULL	20411	NULL	2.131	NULL	2.755	NULL	2.095	NULL	NULL	21065	2.440	NULL	1039.5	NULL	NULL	NULL	NULL
244	4-F-4665	0	6.422	NULL	6.194	NULL	NULL	NULL	2.790	NULL	NULL	NULL	NULL	NULL	19721	NULL	NULL	20925	NULL	20411	NULL	-99.000	NULL	2.952	NULL	2.450	NULL	NULL	21065	3.220	NULL	2053.0	NULL	NULL	NULL	NULL
245	4-F-4666	1	2.320	NULL	-99.000	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	19721	NULL	20945	20909	NULL	20411	NULL	2.654	NULL	3.446	NULL	2.614	NULL	NULL	21065	2.130	NULL	1124.0	NULL	NULL	NULL	NULL
246	4-F-4667	0	4.542	NULL	4.293	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	19721	NULL	20939	20909	NULL	20411	NULL	2.132	NULL	2.756	NULL	2.095	NULL	NULL	21065	2.480	NULL	1018.5	NULL	NULL	NULL	NULL
247	4-F-4668	0	2.242	NULL	-99.000	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	19721	NULL	20945	20909	NULL	20411	NULL	2.132	NULL	2.753	NULL	2.095	NULL	NULL	21065	2.030	NULL	755.0	NULL	NULL	NULL	NULL
248	4-F-4924	0	6.406	NULL	5.468	NULL	NULL	NULL	2.791	NULL	NULL	NULL	NULL	NULL	19721	NULL	NULL	NULL	NULL	NULL	NULL	2.470	NULL	2.950	NULL	2.300	NULL	NULL	21065	2.966	NULL	3215.0	NULL	NULL	NULL	NULL
249	4-F-5219	0	4.542	NULL	4.293	NULL	NULL	NULL	1.930	NULL	NULL	NULL	NULL	NULL	19720	NULL	20945	20909	NULL	20909	NULL	3.577	NULL	4.129	NULL	1.959	NULL	NULL	21066	2.580	NULL	1695.5	NULL	NULL	NULL	NULL
250	4-G-4669	1	2.915	NULL	2.390	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	19721	NULL	20909	20909	NULL	20909	NULL	2.226	NULL	4.722	NULL	2.045	NULL	NULL	21066	2.350	NULL	1296.5	NULL	NULL	NULL	NULL
251	4-G-4670	1	2.893	NULL	2.393	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	19721	NULL	20909	20909	NULL	20909	NULL	2.226	NULL	4.722	NULL	2.045	NULL	NULL	21066	2.350	NULL	1291.0	NULL	NULL	NULL	NULL
252	4-G-4671	1	4.485	NULL	4.117	NULL	NULL	NULL	2.323	NULL	NULL	NULL	NULL	NULL	19721	NULL	20925	20925	NULL	20909	NULL	2.389	NULL	3.071	NULL	2.365	NULL	NULL	21065	3.057	NULL	1595.5	NULL	NULL	NULL	NULL
253	4-G-4672	1	4.485	NULL	4.279	NULL	NULL	NULL	2.285	NULL	NULL	NULL	NULL	NULL	19721	NULL	20925	20925	NULL	20909	NULL	2.673	NULL	3.377	NULL	2.253	NULL	NULL	21065	2.960	NULL	1614.5	NULL	NULL	NULL	NULL
254	4-G-4673	0	3.743	NULL	3.423	NULL	NULL	NULL	2.493	NULL	NULL	NULL	NULL	NULL	19721	NULL	20909	20909	NULL	20411	NULL	2.070	NULL	2.750	NULL	1.580	NULL	NULL	21065	2.566	NULL	895.5	NULL	NULL	NULL	NULL
255	4-G-4674	1	3.774	NULL	3.527	NULL	NULL	NULL	2.003	NULL	NULL	NULL	NULL	NULL	19721	NULL	20925	20925	NULL	20909	NULL	2.358	NULL	3.067	NULL	1.960	NULL	NULL	21065	2.952	NULL	1350.0	NULL	NULL	NULL	NULL
256	4-G-4675	0	2.991	NULL	2.375	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	19721	NULL	20909	20909	NULL	20411	NULL	2.070	NULL	2.747	NULL	1.700	NULL	NULL	21065	2.126	NULL	663.5	NULL	NULL	NULL	NULL
257	4-G-4676	0	2.991	NULL	2.375	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	19721	NULL	20909	20909	NULL	20411	NULL	2.070	NULL	2.747	NULL	1.700	NULL	NULL	21065	2.126	NULL	661.5	NULL	NULL	NULL	NULL
258	4-G-4988	1	5.311	NULL	5.106	NULL	NULL	NULL	2.598	NULL	NULL	NULL	NULL	NULL	19721	NULL	20925	20925	NULL	20909	NULL	2.983	NULL	3.740	NULL	2.524	NULL	NULL	21065	3.055	NULL	2109.0	NULL	NULL	NULL	NULL
259	4-G-4990	1	3.776	NULL	3.532	NULL	NULL	NULL	1.936	NULL	NULL	NULL	NULL	NULL	19721	NULL	20925	20925	NULL	20909	NULL	2.353	NULL	3.069	NULL	2.110	NULL	NULL	21065	3.032	NULL	1459.0	NULL	NULL	NULL	NULL
260	4-G-4992	1	2.994	NULL	2.382	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	19721	NULL	20909	20909	NULL	20909	NULL	2.070	NULL	2.750	NULL	1.860	NULL	NULL	21065	2.165	NULL	868.0	NULL	NULL	NULL	NULL
261	4-K-3644	1	3.744	0.005	3.430	0.005	1.756	0.005	2.405	0.005	0.5469	0.5465	0.625	0.001	19721	1	20943	20411	20909	20975	20411	2.676	0.005	NULL	NULL	1.780	0.010	-99.0	21065	2.708	0.005	1023.6	NULL	20411	30.0	0.040
262	9-Z-9999	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
