id	part	cd_water_cooled	cd_ce_dia_a	cd_ce_dia_a_tol	cd_ce_dia_b	cd_ce_dia_b_tol	cd_ce_dia_c	cd_ce_dia_c_tol	cd_cwc_dia	cd_cwc_dia_tol	cd_bore_dia_max	cd_bore_dia_min	cd_pr_bore_dia	cd_pr_bore_dia_tol	cd_single_dual_oil_feed	cd_spinning_bearing	cd_oil_inlet_thread	cd_oil_drain_thread	cd_oil_drain_flange_thread	cd_coolant_port_thread_1	cd_coolant_port_thread_2	cd_te_dia_d	cd_te_dia_d_tol	cd_te_dia_e	cd_te_dia_e_tol	cd_te_dia_f	cd_te_dia_f_tol	cd_arm_angle	cd_quadrant	cd_oal	cd_oal_tol	cd_weight	cd_diagram_	cd_oil_inlet_flange_thread	cd_lead_in_chmfr_angle	cd_lead_in_chmfr_len
158	4-B-5859	0	5.000	NULL	4.460	NULL	NULL	NULL	2.770	NULL	NULL	NULL	NULL	NULL	19721	NULL	20963	20925	NULL	20411	NULL	3.220	NULL	3.950	NULL	2.710	NULL	NULL	21065	3.600	NULL	1930.0	NULL	NULL	NULL	NULL
159	4-B-6024	0	5.998	NULL	5.726	NULL	NULL	NULL	3.446	NULL	NULL	NULL	NULL	NULL	19721	NULL	20963	20925	NULL	20411	NULL	3.188	NULL	3.223	NULL	2.716	NULL	NULL	21065	NULL	NULL	NULL	NULL	NULL	NULL	NULL
160	4-C-3983	0	6.434	0.002	6.000	0.005	2.137	0.005	3.365	0.005	0.7558	0.7554	0.867	0.001	19721	1	20411	20411	20925	20411	20411	3.462	0.005	2.910	0.005	NULL	NULL	-99.0	21065	3.580	0.005	2840.0	NULL	20925	NULL	NULL
161	4-C-4253	0	6.434	0.002	6.000	0.005	2.137	0.005	3.682	0.005	0.7558	0.7554	0.867	0.001	19721	1	20411	20411	20925	20411	20411	3.462	0.005	2.910	0.005	NULL	NULL	-99.0	21065	3.580	0.005	NULL	NULL	20925	NULL	NULL
162	4-C-4254	0	6.434	0.002	6.000	0.005	2.137	0.005	3.761	0.005	0.7558	0.7554	0.867	0.001	19721	1	20411	20411	20925	20411	20411	3.462	0.005	2.910	0.005	NULL	NULL	-99.0	21065	3.580	0.005	NULL	NULL	20925	NULL	NULL
163	4-C-5336	0	4.996	NULL	4.698	NULL	NULL	NULL	2.539	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20925	20975	NULL	20411	NULL	2.383	NULL	2.913	NULL	NULL	NULL	NULL	21065	3.600	NULL	NULL	NULL	NULL	NULL	NULL
164	4-C-5626	0	7.950	NULL	7.225	NULL	NULL	NULL	3.700	NULL	NULL	NULL	NULL	NULL	19721	NULL	20925	20925	NULL	20411	NULL	3.750	NULL	4.400	NULL	3.200	NULL	NULL	21065	4.120	NULL	6270.0	NULL	NULL	NULL	NULL
165	4-C-5695	0	3.915	NULL	3.747	NULL	NULL	NULL	1.957	NULL	NULL	NULL	NULL	NULL	19721	NULL	20963	20991	NULL	20411	NULL	-99.000	NULL	2.625	NULL	2.177	NULL	NULL	21065	2.795	NULL	966.5	NULL	NULL	NULL	NULL
166	4-C-5703	0	6.420	NULL	6.000	NULL	NULL	NULL	3.320	NULL	NULL	NULL	NULL	NULL	19721	NULL	NULL	20561	NULL	20411	NULL	-99.000	NULL	3.460	NULL	2.920	NULL	NULL	21065	3.600	NULL	2820.0	NULL	NULL	NULL	NULL
167	4-C-5708	0	3.915	NULL	3.747	NULL	NULL	NULL	2.350	NULL	NULL	NULL	NULL	NULL	19721	NULL	20963	20991	NULL	20411	NULL	-99.000	NULL	2.625	NULL	2.175	NULL	NULL	21065	2.795	NULL	977.0	NULL	NULL	NULL	NULL
