id	part	cd_installed_diameter_a	cd_gap_b_installed_diameter	cd_thickness_c	cd_thickness_c_tol	cd_width_d	cd_width_d_upper_tol	cd_width_d_lower_tol	cd_material	cd_type	cd_weight	cd_diagram_
91	8-C-2993	0.865	0.006	0.043	0.005	0.0775	0.0000	0.0010	20328	20332	NULL	NULL
92	8-C-2996	1.025	0.006	0.058	0.005	0.0975	0.0000	0.0010	20328	20332	NULL	NULL
93	8-C-3090	1.000	0.005	0.050	0.005	0.0725	0.0000	0.0010	20329	20332	NULL	NULL
94	8-C-3091	1.010	0.005	0.050	0.005	0.0725	0.0000	0.0010	20329	20332	NULL	NULL
95	8-C-3092	1.000	0.005	0.050	0.005	0.0825	0.0000	0.0010	20329	20332	NULL	NULL
96	8-C-3093	1.010	0.005	0.050	0.005	0.0825	0.0000	0.0010	20328	20332	NULL	NULL
97	8-C-3477	0.710	0.006	0.043	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
98	8-C-3497	1.025	0.006	0.052	0.005	0.0775	0.0000	0.0010	20328	20332	NULL	NULL
99	8-C-3500	0.865	0.006	0.050	0.005	0.0785	0.0000	0.0010	20329	20332	NULL	NULL
100	8-C-3504	0.885	0.006	0.046	0.005	0.0585	0.0000	0.0010	20329	20332	NULL	NULL
101	8-C-3724	0.865	0.006	0.043	0.005	0.0875	0.0000	0.0010	20328	20332	NULL	NULL
102	8-C-3725	0.875	0.006	0.043	0.005	0.0775	0.0000	0.0010	20328	20332	NULL	NULL
103	8-C-3726	0.875	0.006	0.043	0.005	0.0875	0.0000	0.0010	20328	20332	NULL	NULL
104	8-C-3727	0.875	0.006	0.043	0.005	0.0975	0.0000	0.0010	20328	20332	NULL	NULL
105	8-C-3742	1.180	0.005	0.058	0.005	0.0975	0.0000	0.0010	20328	20332	NULL	NULL
106	8-C-3743	1.180	0.005	0.058	0.005	0.0785	0.0000	0.0010	20328	20332	NULL	NULL
107	8-C-3955	0.795	0.006	0.038	0.005	0.0575	0.0000	0.0010	20328	20332	NULL	NULL
108	8-C-3956	0.795	0.006	0.038	0.005	0.0775	0.0000	0.0010	20328	20332	NULL	NULL
109	8-C-5339	0.630	0.005	0.042	0.005	0.0595	0.0000	0.0010	20329	20332	NULL	NULL
110	8-C-6212	NULL	NULL	NULL	0.005	NULL	0.0000	0.0010	NULL	NULL	NULL	NULL
111	8-C-6216	NULL	NULL	NULL	0.005	NULL	0.0000	0.0010	NULL	NULL	NULL	NULL
112	8-D-0406	0.550	0.005	0.039	0.005	0.0545	0.0000	0.0010	20329	20332	NULL	NULL
113	8-D-0668	0.760	0.004	0.046	0.005	0.0535	0.0000	0.0010	20329	20332	NULL	NULL
114	8-D-0923	0.551	0.004	0.031	0.005	0.0545	0.0000	0.0010	20329	20332	NULL	NULL
115	8-D-1782	0.394	0.003	0.028	0.005	0.0545	0.0000	0.0010	20328	20332	NULL	NULL
116	8-D-1805	0.561	0.004	0.031	0.005	0.0545	0.0000	0.0010	20329	20332	NULL	NULL
117	8-D-1806	0.551	0.004	0.031	0.005	0.0645	0.0000	0.0010	20329	20332	NULL	NULL
118	8-D-1807	0.561	0.004	0.031	0.005	0.0645	0.0000	0.0010	20329	20332	NULL	NULL
119	8-D-1808	0.551	0.004	0.031	0.005	0.0745	0.0000	0.0010	20329	20332	NULL	NULL
120	8-D-1809	0.561	0.004	0.031	0.005	0.0745	0.0000	0.0010	20329	20332	NULL	NULL
121	8-D-1810	0.770	0.004	0.038	0.005	0.0535	0.0000	0.0010	20329	20332	NULL	NULL
122	8-D-1813	0.760	0.004	0.036	0.005	0.0735	0.0000	0.0010	20329	20332	NULL	NULL
123	8-D-1815	0.560	0.005	0.036	0.005	0.0545	0.0000	0.0010	20329	20332	NULL	NULL
124	8-D-4140	0.394	0.003	0.027	0.005	0.0430	0.0000	0.0010	20328	20332	NULL	NULL
125	8-E-0365	0.689	0.004	0.035	0.005	0.0620	0.0000	0.0010	20328	20332	NULL	NULL
126	8-E-0369	0.394	0.002	0.026	0.005	0.0385	0.0000	0.0010	20329	20332	NULL	NULL
127	8-E-0374	0.625	0.008	0.032	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
128	8-E-0379	0.488	0.003	0.029	0.005	0.0465	0.0000	0.0010	20328	20332	NULL	NULL
129	8-E-1601	0.689	0.004	0.035	0.005	0.0720	0.0000	0.0010	20329	20332	NULL	NULL
130	8-E-1648	0.699	0.004	0.035	0.005	0.0620	0.0000	0.0010	20329	20332	NULL	NULL
131	8-E-1650	0.700	0.006	0.035	0.005	0.0730	0.0000	0.0010	20329	20332	NULL	NULL
132	8-E-1651	0.689	0.006	0.035	0.005	0.0830	0.0000	0.0010	20329	20332	NULL	NULL
133	8-E-1652	0.700	0.006	0.035	0.005	0.0830	0.0000	0.0010	20328	20332	NULL	NULL
134	8-E-2039	0.500	0.006	0.029	0.005	0.0460	0.0000	0.0010	20329	20332	NULL	NULL
135	8-E-2902	0.864	0.005	0.045	0.005	0.0615	0.0000	0.0010	20329	20332	NULL	NULL
136	8-F-0039	0.728	0.004	0.039	0.005	0.0555	0.0000	0.0010	20329	20332	NULL	NULL
137	8-F-0040	0.630	0.004	0.038	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
138	8-F-0428	0.433	0.003	0.028	0.005	0.0385	0.0000	0.0010	20329	20332	NULL	NULL
139	8-F-0430	0.315	0.003	0.023	0.005	0.0305	0.0000	0.0010	20328	20332	NULL	NULL
140	8-F-0440	0.590	0.003	0.035	0.005	0.0465	0.0000	0.0010	20328	20332	NULL	NULL
141	8-F-0441	0.551	0.004	0.033	0.005	0.0545	0.0000	0.0010	20328	20332	NULL	NULL
142	8-F-0472	0.669	0.004	0.038	0.005	0.0465	0.0000	0.0010	20328	20332	NULL	NULL
143	8-F-1783	0.403	0.006	0.029	0.005	0.0400	0.0000	0.0010	20329	20332	NULL	NULL
144	8-F-1786	0.600	0.005	0.037	0.005	0.0465	0.0000	0.0010	20329	20332	NULL	NULL
145	8-F-1787	0.590	0.003	0.035	0.005	0.0565	0.0000	0.0010	20329	20332	NULL	NULL
146	8-F-1788	0.600	0.005	0.037	0.005	0.0565	0.0000	0.0010	20329	20332	NULL	NULL
147	8-F-1789	0.590	0.005	0.037	0.005	0.0665	0.0000	0.0010	20329	20332	NULL	NULL
148	8-F-1790	0.600	0.005	0.037	0.005	0.0565	0.0000	0.0010	20329	20332	NULL	NULL
149	8-F-1793	0.679	0.004	0.038	0.005	0.0465	0.0000	0.0010	20328	20332	NULL	NULL
150	8-F-1794	0.669	0.004	0.038	0.005	0.0565	0.0000	0.0010	20328	20332	NULL	NULL
151	8-F-1795	0.679	0.004	0.038	0.005	0.0565	0.0000	0.0010	20329	20332	NULL	NULL
152	8-F-1796	0.669	0.004	0.038	0.005	0.0665	0.0000	0.0010	20328	20332	NULL	NULL
153	8-F-1797	0.679	0.004	0.038	0.005	0.0665	0.0000	0.0010	20329	20332	NULL	NULL
154	8-F-1798	0.640	0.004	0.038	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
155	8-F-1799	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
156	8-F-1800	0.728	0.004	0.039	0.005	0.0655	0.0000	0.0010	20328	20332	NULL	NULL
157	8-F-1801	0.739	0.006	0.038	0.005	0.0660	0.0000	0.0010	20328	20332	NULL	NULL
158	8-F-1802	0.730	0.006	0.040	0.005	0.0790	0.0000	0.0010	20328	20332	NULL	NULL
159	8-F-1803	0.739	0.006	0.039	0.005	0.0770	0.0000	0.0010	20328	20332	NULL	NULL
160	8-F-3085	0.510	0.002	0.030	0.005	0.0425	0.0000	0.0010	20328	20332	NULL	NULL
161	8-G-0513	0.500	0.010	0.028	0.005	0.0465	0.0000	0.0010	20329	20332	NULL	NULL
162	8-G-0737	0.434	0.004	0.026	0.005	0.0465	0.0000	0.0010	20329	20332	NULL	NULL
163	8-G-0738	0.605	0.008	0.029	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
164	8-G-1804	0.510	0.006	0.029	0.005	0.0470	0.0000	0.0010	20329	20332	NULL	NULL
165	8-G-4872	0.528	0.006	0.028	0.005	0.0630	0.0000	0.0010	20328	20332	NULL	NULL
166	8-G-5314	0.606	0.006	0.034	0.005	0.0625	0.0000	0.0010	20328	20332	NULL	NULL
167	8-H-0807	0.833	0.008	0.047	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
168	8-H-0926	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
169	8-H-1161	1.040	0.012	0.047	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
170	8-H-1169	0.823	0.008	0.044	0.005	0.0825	0.0000	0.0010	20328	20332	NULL	NULL
171	8-H-1174	1.135	0.005	0.051	0.005	0.0935	0.0000	0.0010	20328	20332	NULL	NULL
172	8-H-1202	1.125	0.008	0.045	0.005	0.0930	0.0000	0.0010	NULL	NULL	NULL	NULL
173	8-H-1359	1.030	0.012	0.044	0.005	0.0725	0.0000	0.0010	20329	20332	NULL	NULL
174	8-H-1360	1.030	0.012	0.044	0.005	0.0825	0.0000	0.0010	20329	20332	NULL	NULL
175	8-H-1374	1.040	0.012	0.047	0.005	0.0825	0.0000	0.0010	20329	20332	NULL	NULL
176	8-H-1513	NULL	NULL	NULL	0.005	NULL	0.0000	0.0010	NULL	NULL	NULL	NULL
